LvL 1 |LvL 2 |LvL 3 |LvL 4 |LvL 5 |LvL 6 |LvL 7 |LvL 8 |LvL 9 |LvL 10|LvL 11|LvL 12|LvL 13|LvL 14|LvL 15|LvL 16|Target Value
______|______|______|______|______|______|______|______|______|______|______|______|______|______|______|______|____________
(0, 1)|(2, 2)|(3, 1)|(2, 0)|(0, 2)|(0, 0)|(3, 0)|(2, 1)|(1, 0)|(1, 2)|(1, 3)|(1, 1)|(0, 3)|(3, 3)|      |      |lost
(3, 2)|(2, 2)|(1, 3)|(0, 2)|(0, 3)|(3, 1)|(0, 1)|(1, 1)|(0, 0)|(2, 3)|(3, 0)|(1, 2)|(3, 3)|(1, 0)|(2, 1)|(2, 0)|draw
(3, 3)|(3, 2)|(0, 1)|(0, 3)|(0, 0)|(2, 1)|(2, 2)|(2, 3)|(3, 0)|(1, 3)|(2, 0)|(1, 0)|(1, 1)|      |      |      |win
(1, 3)|(1, 1)|(3, 3)|(2, 3)|(1, 0)|(0, 2)|(2, 2)|(3, 2)|(0, 1)|(2, 1)|(0, 0)|(2, 0)|(0, 3)|(1, 2)|(3, 0)|(3, 1)|draw
(1, 3)|(3, 2)|(2, 2)|(2, 0)|(1, 1)|(3, 1)|(1, 2)|(0, 1)|(3, 3)|(2, 1)|(0, 3)|(0, 0)|(3, 0)|(2, 3)|(0, 2)|(1, 0)|draw
(3, 0)|(2, 0)|(0, 1)|(3, 1)|(3, 3)|(2, 3)|(0, 2)|(1, 2)|(3, 2)|(0, 3)|(2, 2)|(1, 0)|(2, 1)|(0, 0)|(1, 1)|(1, 3)|draw
(3, 2)|(1, 2)|(3, 3)|(2, 1)|(1, 3)|(0, 3)|(0, 2)|(2, 2)|(3, 0)|(2, 3)|(3, 1)|      |      |      |      |      |win
(2, 2)|(3, 2)|(1, 1)|(0, 1)|(0, 3)|(0, 2)|(2, 3)|(1, 3)|(1, 0)|(3, 1)|(0, 0)|(1, 2)|(2, 0)|(3, 3)|(2, 1)|      |win
(2, 1)|(3, 3)|(0, 0)|(0, 1)|(1, 1)|(1, 0)|(1, 3)|(3, 2)|(3, 1)|(1, 2)|(2, 0)|(0, 2)|(2, 2)|(2, 3)|(0, 3)|(3, 0)|draw
(2, 3)|(3, 1)|(2, 2)|(2, 0)|(2, 1)|(0, 3)|(1, 3)|(3, 3)|(0, 0)|(3, 0)|(1, 1)|(0, 2)|(0, 1)|(1, 2)|(1, 0)|(3, 2)|lost
(2, 1)|(0, 2)|(2, 0)|(0, 3)|(1, 1)|(0, 1)|(1, 3)|(2, 3)|(3, 0)|(0, 0)|      |      |      |      |      |      |lost
(2, 2)|(1, 3)|(3, 1)|(1, 1)|(0, 0)|(0, 2)|(2, 0)|(1, 2)|(3, 3)|(3, 2)|(2, 1)|(3, 0)|(0, 3)|(2, 3)|(0, 1)|(1, 0)|lost
(2, 2)|(0, 0)|(2, 3)|(0, 1)|(3, 3)|(2, 0)|(1, 1)|(1, 2)|(3, 0)|(2, 1)|(0, 3)|(3, 2)|(0, 2)|(1, 0)|(1, 3)|      |win
(0, 0)|(0, 2)|(1, 2)|(2, 2)|(3, 3)|(2, 3)|(1, 3)|(0, 1)|(2, 0)|(3, 1)|(1, 1)|(2, 1)|(1, 0)|      |      |      |win
(3, 3)|(0, 2)|(1, 2)|(2, 1)|(0, 3)|(1, 3)|(2, 0)|(1, 1)|(0, 1)|(2, 2)|(3, 0)|(2, 3)|(3, 2)|(1, 0)|(3, 1)|      |win
(1, 2)|(2, 2)|(3, 0)|(0, 3)|(0, 1)|(1, 3)|(0, 0)|(2, 1)|(2, 0)|(3, 3)|(3, 1)|(0, 2)|(3, 2)|(1, 0)|(1, 1)|(2, 3)|lost
(2, 3)|(2, 0)|(3, 1)|(0, 0)|(0, 2)|(2, 1)|(1, 0)|(3, 2)|(1, 1)|(3, 0)|(2, 2)|(1, 3)|(3, 3)|(0, 1)|(1, 2)|(0, 3)|draw
(0, 3)|(3, 2)|(1, 3)|(3, 3)|(0, 0)|(1, 0)|(1, 2)|(2, 3)|(3, 0)|(1, 1)|(2, 1)|      |      |      |      |      |win
(0, 0)|(3, 2)|(2, 0)|(1, 0)|(0, 3)|(0, 2)|(1, 3)|(2, 1)|(1, 1)|(3, 3)|(3, 1)|(3, 0)|(2, 3)|(1, 2)|(2, 2)|(0, 1)|draw
(2, 1)|(0, 1)|(3, 3)|(1, 2)|(2, 0)|(2, 2)|(2, 3)|(1, 0)|(0, 3)|(3, 2)|(1, 1)|(0, 0)|(1, 3)|      |      |      |win
(1, 3)|(2, 2)|(0, 2)|(2, 3)|(0, 0)|(1, 2)|(3, 2)|(3, 3)|(2, 0)|(3, 1)|(0, 1)|(2, 1)|(3, 0)|(0, 3)|(1, 0)|      |win
(3, 0)|(1, 0)|(2, 0)|(2, 1)|(3, 2)|(0, 3)|(2, 3)|(1, 1)|(3, 3)|(2, 2)|(0, 0)|(1, 2)|(1, 3)|(0, 1)|(0, 2)|(3, 1)|lost
(0, 2)|(0, 1)|(3, 0)|(2, 3)|(2, 1)|(2, 0)|(0, 3)|(0, 0)|(1, 1)|(1, 3)|(3, 3)|(1, 2)|(3, 2)|(3, 1)|(2, 2)|(1, 0)|draw
(0, 0)|(1, 0)|(0, 1)|(3, 2)|(0, 2)|(1, 3)|(1, 1)|(2, 3)|(0, 3)|      |      |      |      |      |      |      |win
